explaining_class,variable,pearson_corr,pearson_pvalue,spearman_corr,spearman_pvalue,mse,rmse,mae
0,intercept_conflict,-0.08601753537613627,0.2258598573729411,-0.08275174686169078,0.24403915498262257,0.56178157191234,0.7495208949137709,0.6059275523777095
0,local_pred_conflict,0.22139562356964695,0.0016295101548143517,0.2233789485837052,0.0014751536323415002,0.5595933714432371,0.7480597378841058,0.7408058679989139
0,score_conflict,-0.09631863880790255,0.1748543418700661,-0.05889081371752228,0.4074775233185237,0.8242951445149884,0.9079070131434102,0.8965157844157281
1,intercept_conflict,-0.022534158601564935,0.7514531545616548,-0.0152303828579799,0.8305061319963137,14.414620718081753,3.7966591522128708,3.001779923212348
1,local_pred_conflict,0.014696321600893882,0.8363645976545204,0.023860933144168508,0.7373405696577082,0.44064826642451627,0.6638134274210761,0.6150106923404755
1,score_conflict,-0.07219406047173912,0.30967465785421067,-0.07361351714690284,0.3002333087037143,0.8385822856515275,0.9157413857916041,0.9039850991737288
2,intercept_conflict,0.12129877725743543,0.08708205420974219,0.12082770400664054,0.08832488736853665,0.4540945929647316,0.6738654116103093,0.5441393215078172
2,local_pred_conflict,-0.03976239125364378,0.5761469814163904,-0.05229098114573099,0.46211164071118516,0.5482248831199683,0.7404220979414163,0.7343111071653715
2,score_conflict,0.10338146761301466,0.14517798249518382,0.08833622057628342,0.21354907345351304,0.8265025761636084,0.9091218709081904,0.8974537622701749
3,intercept_conflict,-0.1078465943381878,0.12849637450448642,-0.11727394800644522,0.09816405456837622,0.49385159015526675,0.7027457507201781,0.5798069820793049
3,local_pred_conflict,-0.01618871210260025,0.8200172050431328,-0.01472270342938057,0.8360749838103025,0.5441365133105699,0.7376560942001157,0.7316152751160258
3,score_conflict,0.023795303157362255,0.7380366423185466,0.031983804001757786,0.6529994705803307,0.8250133631615203,0.90830246237777,0.896754246925829
4,intercept_conflict,0.03813043547878811,0.5919165464657721,0.04010667485934707,0.572845479688614,0.5598232122644586,0.7482133467564306,0.6084286405736273
4,local_pred_conflict,0.06969818236099239,0.32674265361145594,0.07716727314709816,0.27743917488319697,0.5408047033576717,0.735394250288695,0.7292764346697905
4,score_conflict,0.11366991558468212,0.10901018228408065,0.07513655543270083,0.29031698714752385,0.8245153191434218,0.9080282590004685,0.8963978408029146
5,intercept_conflict,-0.07274097083265615,0.30601414913845415,-0.037568277716350414,0.597393845130521,0.5869395413020336,0.7661197956599435,0.6285898273147233
5,local_pred_conflict,0.006723745666725171,0.9247174050940897,0.008122870857589278,0.9091136684415927,0.543426481636051,0.7371746615531838,0.7310689054350153
5,score_conflict,-0.01873650890431737,0.7922912302897926,-0.020814856572572527,0.7698637497924279,0.8247105313004787,0.9081357449745487,0.896648011238274
6,intercept_conflict,-0.02821020439838353,0.6917134759474858,-0.052798660574330324,0.45777011699124737,0.4939921031417162,0.7028457178796185,0.5514544995380054
6,local_pred_conflict,-0.007114895735807562,0.9203519507956525,-0.008122870857589278,0.9091136684415927,0.5498065987283652,0.7414894461341748,0.7351318160198883
6,score_conflict,-0.0712552447407953,0.31602487191730483,-0.07716727314709816,0.27743917488319697,0.8277865846410631,0.9098277774617914,0.8983258991955444
